game_id,round_id,turn_id,roundName,playerName,chips,chips0,reloadCount,hole,board,Nsim,prWin,prWinStd,pot,bet,cost_to_call,position,action,amount,rank,message,winMoney
2018-03-17 19:42:21,1,1,Deal,ヽ(=^･ω･^=)丿,1000.0,1000.0,0,♣Q ♥6,,20000,0.16210158730158397,0.3001865838534485,30.0,0.0,0.0,,bet,215.0,76.0064,Two Pair,0.0
2018-03-17 19:42:21,1,2,Deal,SML,1000.0,1000.0,0,♠K ♣A,,20000,0.28964603174602915,0.37150578633510006,245.0,0.0,215.0,,call,215.0,18.3584,Pair,1243.0
2018-03-17 19:42:21,1,3,Deal,PCB,1000.0,1000.0,0,♥8 ♦4,,20000,0.12302976190476281,0.274911457540041,460.0,0.0,215.0,,call,215.0,18.0608,Pair,0.0
2018-03-17 19:42:21,1,4,Deal,Tobacco AI,1000.0,1000.0,0,♣2 ♠6,,20000,0.10399246031746366,0.2593046141126964,675.0,0.0,215.0,,fold,0.0,18.0584,Pair,0.0
2018-03-17 19:42:21,1,5,Deal,Out Bluffed,990.0,990.0,0,♣7 ♠10,,20000,0.16760952380952052,0.30754809704759883,675.0,0.0,215.0,SB,fold,0.0,18.0704,Pair,0.0
2018-03-17 19:42:21,1,6,Deal,Im Not Kao Chin,980.0,980.0,0,♠3 ♠A,,20000,0.22810634920634437,0.35719048210198223,675.0,0.0,215.0,BB,fold,0.0,59.2048,Two Pair,0.0
2018-03-17 19:42:21,1,7,Flop,ヽ(=^･ω･^=)丿,785.0,785.0,0,♣Q ♥6,♦Q ♥3 ♥J,140,0.35,0.47321091643005386,675.0,0.0,0.0,,bet,264.0,76.0064,Two Pair,0.0
2018-03-17 19:42:21,1,8,Flop,SML,785.0,785.0,0,♠K ♣A,♦Q ♥3 ♥J,153,0.23529411764705882,0.41640707022735884,939.0,0.0,264.0,,call,264.0,18.3584,Pair,1243.0
2018-03-17 19:42:21,1,9,Flop,PCB,785.0,785.0,0,♥8 ♦4,♦Q ♥3 ♥J,225,0.04888888888888889,0.21041992113361452,1203.0,0.0,264.0,,fold,0.0,18.0608,Pair,0.0
2018-03-17 19:42:21,1,10,Turn,ヽ(=^･ω･^=)丿,521.0,521.0,0,♣Q ♥6,♦Q ♥3 ♥J ♠J,132,0.6515151515151515,0.4603168948776761,1203.0,0.0,0.0,,bet,20.0,76.0064,Two Pair,0.0
2018-03-17 19:42:21,1,11,Turn,SML,521.0,521.0,0,♠K ♣A,♦Q ♥3 ♥J ♠J,166,0.21686746987951808,0.41211159943342335,1223.0,0.0,20.0,,call,20.0,18.3584,Pair,1243.0
2018-03-17 19:42:21,1,12,River,ヽ(=^･ω･^=)丿,501.0,501.0,0,♣Q ♥6,♦Q ♥3 ♥J ♠J ♥9,106,0.39622641509433965,0.48911250554021585,1243.0,0.0,0.0,,fold,0.0,76.0064,Two Pair,0.0
