round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,chips_total,pot,bet,cost_on_table,cost_to_call,cost_total,maxBet_all,N_maxBet_all,util_fold,util_call,N_canraise,util_raise_coeff,util_call2,util_raise_coeff2,limitRoundBet,limitBet,gamble,gamble_tol,action,amount,cputime
1,0,7,4,deal,False,♦9 ♦6,,20000,0.1632916666666702,0.3298621378473284,990,0,2990,0,10,10,10,20,20,3,-10,6.12666666666723,3,-0.3468333333333192,-3.670833333332981,-0.6734166666666597,231.50345764206835,221.50345764206835,True,299,call,0,0.20998191833496094
1,1,7,4,flop,True,♦9 ♦6,♠3 ♠K ♥6,101,0.0594059405940594,0.23638289873887772,980,0,2980,20,0,20,20,40,0,7,-20,-3.465346534653465,3,-0.7623762376237624,-3.465346534653465,-0.8811881188118812,79.2613501115086,59.261350111508605,True,298,call,0,1.238713264465332
1,2,7,3,turn,True,♦9 ♦6,♠3 ♠K ♥6 ♣8,87,0.13793103448275862,0.34482758620689663,960,0,2960,40,0,40,20,60,0,7,-40,7.701149425287358,2,-0.5862068965517242,7.701149425287358,-0.7241379310344828,190.7956481116788,150.7956481116788,False,296,call,0,1.2441442012786865
1,3,7,3,river,True,♦9 ♦6,♠3 ♠K ♥6 ♣8 ♣A,164,0.0,0.0,940,0,2940,60,0,60,20,80,0,7,-60,-23.333333333333332,2,-1.0,-23.333333333333332,-1.0,-0.0,-60.0,False,294,fold,0,1.2524619102478027
2,0,7,5,deal,False,♣8 ♣6,,20000,0.1981309523809573,0.3548606601369334,940,0,2940,0,0,0,20,20,20,3,0,11.700952380953169,4,-0.009345238095213482,1.7944047619053016,-0.6037380952380854,281.9358572790963,281.9358572790963,True,294,call,0,0.21005487442016602
2,1,7,3,flop,False,♣8 ♣6,♣2 ♥2 ♠6,467,0.22805139186295503,0.39391117045197155,920,0,2920,20,0,20,20,40,20,2,-20,29.00071377587437,2,-0.31584582441113485,10.756602426837969,-0.5438972162740899,328.2419056111397,308.2419056111397,True,292,call,0,1.2624382972717285
2,2,7,2,turn,False,♣8 ♣6,♣2 ♥2 ♠6 ♦10,334,0.1751497005988024,0.3650270374489712,900,0,2900,40,0,40,20,60,20,1,-40,19.550898203592816,1,-0.6497005988023952,2.0359281437125745,-0.6497005988023952,242.51210450890585,202.51210450890585,True,290,call,0,1.2535679340362549
2,3,7,2,river,False,♣8 ♣6,♣2 ♥2 ♠6 ♦10 ♦5,252,0.27380952380952384,0.42229755265461827,880,0,2880,60,0,60,20,80,20,1,-60,61.626984126984134,1,-0.45238095238095233,34.246031746031754,-0.45238095238095233,400.1744190272102,340.1744190272102,True,288,call,0,1.2326281070709229
3,0,7,4,deal,False,♦9 ♦3,,20000,0.141647619047621,0.31150795191307123,1100,0,3100,0,0,0,20,20,20,1,0,2.6636190476193597,3,-0.43340952380951603,-10.08466666666653,-0.716704761904758,205.63658992402873,205.63658992402873,True,310,call,0,0.2162330150604248
3,1,7,3,flop,False,♦9 ♦3,♠9 ♠Q ♠6,231,0.08441558441558442,0.2721081407760645,1080,0,3080,20,0,20,46,66,46,1,-20,-16.655844155844157,2,-0.7467532467532467,-36.07142857142858,-0.8311688311688312,117.96895319773613,97.96895319773613,True,308,fold,0,1.2421040534973145
4,0,7,6,deal,False,♥4 ♠9,,20000,0.10578928571428517,0.26683914829383143,1080,0,3080,0,0,0,20,20,20,2,0,-3.0737142857143738,5,-0.3652642857142889,-10.478964285714335,-0.7884214285714297,149.56520283860522,149.56520283860522,True,308,fold,0,0.20845389366149902
5,0,7,6,deal,False,♥3 ♦10,,20000,0.11066369047619039,0.27234428075073475,1080,0,3080,0,0,0,20,20,20,1,0,-2.2938095238095375,5,-0.3360178571428577,-12.25354166666667,-0.7786726190476192,156.87664636732268,156.87664636732268,False,308,fold,0,0.21440792083740234
6,0,7,7,deal,False,♣3 ♠6,,20000,0.1214500000000004,0.28584793593089286,1080,0,3080,0,0,0,20,20,20,1,0,-0.5679999999999339,6,-0.14984999999999715,-11.498499999999972,-0.7570999999999992,173.19923210238548,173.19923210238548,False,308,fold,0,0.21091985702514648
7,0,7,6,deal,False,♠10 ♣K,,20000,0.20160654761905772,0.3421592230711286,1060,0,3060,0,20,20,0,20,20,6,-20,12.257047619049233,5,0.2096392857143463,10.240982142858657,-0.5967869047618846,299.2160820572919,279.2160820572919,False,306,check,0,0.21335172653198242
7,1,7,6,flop,True,♠10 ♣K,♥5 ♣A ♠Q,110,0.19090909090909092,0.393017569476678,1060,0,3060,20,0,20,20,40,0,7,-20,13.803030303030305,5,0.1454545454545455,13.803030303030305,-0.6181818181818182,281.52819625073556,261.52819625073556,False,306,call,0,1.2317769527435303
7,2,7,3,flop,False,♠10 ♣K,♥5 ♣A ♠Q,955,0.17958115183246073,0.37451795539301225,1040,0,3040,20,20,40,20,60,40,1,-40,25.77050610820244,2,-0.46125654450261777,-6.554101221640494,-0.6408376963350786,261.3316871685777,221.33168716857767,False,304,call,0,1.269808053970337
