round_id,playerName,allIn,bet,cards,chips,folded,isHuman,isOnline,isSurvive,reloadCount,roundBet,position,me,hand,rank,message,winMoney
1,8+9,True,0,♠10 ♣8,2320,False,False,True,True,0,0,,False,♠10 ♣8 ♥8 ♠J ♣A ♦8 ♦10,203.0,Full House,2320.0
1,隨便  ,True,0,♦K ♥A,1000,False,False,True,True,1,0,SB,False,♦K ♥A ♥8 ♠J ♣A ♦8 ♦10,94.1024,Two Pair,0.0
1,iCRC必勝,False,0,♦6 ♣J,900,True,False,True,True,0,0,BB,False,♦6 ♣J ♥8 ♠J ♣A ♦8 ♦10,64.2048,Two Pair,0.0
1,ヽ(=^･ω･^=)丿,False,0,♣9 ♠2,1000,True,False,True,True,0,0,,True,♣9 ♠2 ♥8 ♠J ♣A ♦8 ♦10,15.2432,Pair,0.0
1,A_P_T^T,False,0,♥5 ♠A,900,True,False,True,True,0,0,,False,♥5 ♠A ♥8 ♠J ♣A ♦8 ♦10,94.0256,Two Pair,0.0
1,AllinWin,False,0,♣K ♥7,980,True,False,True,True,0,0,,False,♣K ♥7 ♥8 ♠J ♣A ♦8 ♦10,15.3328,Pair,0.0
1,TMBS=trend micro's best supreme,False,0,♦9 ♥4,900,True,False,True,True,0,0,,False,♦9 ♥4 ♥8 ♠J ♣A ♦8 ♦10,15.2432,Pair,0.0
2,8+9,False,0,♦8 ♦3,3208,True,False,True,True,1,0,,False,♦8 ♦3 ♥A ♥9 ♣4 ♥Q ♣6,8.0616,High Card,0.0
2,隨便  ,True,0,♦4 ♣5,1000,False,False,True,True,2,0,,False,♦4 ♣5 ♥A ♥9 ♣4 ♥Q ♣6,11.2624,Pair,0.0
2,iCRC必勝,False,0,♠A ♠Q,940,False,False,True,True,1,0,SB,False,♠A ♠Q ♥A ♥9 ♣4 ♥Q ♣6,98.0064,Two Pair,252.0
2,ヽ(=^･ω･^=)丿,False,0,♥7 ♣7,588,True,False,True,True,0,0,BB,True,♥7 ♣7 ♥A ♥9 ♣4 ♥Q ♣6,14.2624,Pair,0.0
2,A_P_T^T,True,0,♦J ♠J,1000,False,False,True,True,1,0,,False,♦J ♠J ♥A ♥9 ♣4 ♥Q ♣6,18.2624,Pair,0.0
2,AllinWin,True,0,♥6 ♦6,4776,False,False,True,True,0,0,,False,♥6 ♦6 ♥A ♥9 ♣4 ♥Q ♣6,104.256,Three of a Kind,4776.0
2,TMBS=trend micro's best supreme,False,0,♥10 ♦2,488,True,False,True,True,0,0,,False,♥10 ♦2 ♥A ♥9 ♣4 ♥Q ♣6,8.0712,High Card,0.0
3,8+9,False,0,♠2 ♣6,4168,True,False,True,True,2,0,,False,♠2 ♣6 ♦7 ♦3 ♥9 ♥4 ♥J,5.0089999999999995,High Card,0.0
3,隨便  ,False,0,♦Q ♠Q,900,False,False,True,True,2,0,,False,♦Q ♠Q ♦7 ♦3 ♥9 ♥4 ♥J,19.0336,Pair,0.0
3,iCRC必勝,False,0,♦9 ♠5,1860,True,False,True,True,2,0,,False,♦9 ♠5 ♦7 ♦3 ♥9 ♥4 ♥J,16.0276,Pair,0.0
3,ヽ(=^･ω･^=)丿,False,0,♥5 ♠8,508,True,False,True,True,0,0,SB,True,♥5 ♠8 ♦7 ♦3 ♥9 ♥4 ♥J,5.0116,High Card,0.0
3,A_P_T^T,False,0,♥3 ♣5,960,True,False,True,True,1,0,BB,False,♥3 ♣5 ♦7 ♦3 ♥9 ♥4 ♥J,10.0336,Pair,0.0
3,AllinWin,False,0,♦6 ♦8,4676,False,False,True,True,0,0,,False,♦6 ♦8 ♦7 ♦3 ♥9 ♥4 ♥J,5.012,High Card,0.0
3,TMBS=trend micro's best supreme,False,0,♣8 ♥10,928,False,False,True,True,0,0,,False,♣8 ♥10 ♦7 ♦3 ♥9 ♥4 ♥J,119.0,Straight,540.0
4,8+9,False,0,♠5 ♠K,4388,False,False,True,True,2,0,,False,♠5 ♠K ♣6 ♦6 ♦2 ♥5 ♥J,31.1024,Two Pair,300.0
4,隨便  ,False,0,♣7 ♣9,880,True,False,True,True,2,0,,False,♣7 ♣9 ♣6 ♦6 ♦2 ♥5 ♥J,13.0336,Pair,0.0
4,iCRC必勝,False,0,♦5 ♣8,1780,False,False,True,True,2,0,,False,♦5 ♣8 ♣6 ♦6 ♦2 ♥5 ♥J,31.0256,Two Pair,0.0
4,ヽ(=^･ω･^=)丿,False,0,♠10 ♥7,508,True,False,True,True,0,0,,True,♠10 ♥7 ♣6 ♦6 ♦2 ♥5 ♥J,13.04,Pair,0.0
4,A_P_T^T,False,0,♥4 ♣K,940,True,False,True,True,1,0,SB,False,♥4 ♣K ♣6 ♦6 ♦2 ♥5 ♥J,13.1284,Pair,0.0
4,AllinWin,False,0,♠9 ♦4,4656,True,False,True,True,0,0,BB,False,♠9 ♦4 ♣6 ♦6 ♦2 ♥5 ♥J,13.0324,Pair,0.0
4,TMBS=trend micro's best supreme,False,0,♥3 ♦9,848,False,False,True,True,0,0,,False,♥3 ♦9 ♣6 ♦6 ♦2 ♥5 ♥J,13.0324,Pair,0.0
5,8+9,False,0,♥Q ♦5,4618,False,False,True,True,2,0,,False,♥Q ♦5 ♠5 ♦8 ♥10 ♥9 ♦10,53.0512,Two Pair,330.0
5,隨便  ,False,0,♠8 ♣3,880,True,False,True,True,2,0,,False,♠8 ♣3 ♠5 ♦8 ♥10 ♥9 ♦10,56.0064,Two Pair,0.0
5,iCRC必勝,False,0,♣2 ♦Q,1700,True,False,True,True,2,0,,False,♣2 ♦Q ♠5 ♦8 ♥10 ♥9 ♦10,17.0608,Pair,0.0
5,ヽ(=^･ω･^=)丿,False,0,♣J ♥4,508,True,False,True,True,0,0,,True,♣J ♥4 ♠5 ♦8 ♥10 ♥9 ♦10,17.0352,Pair,0.0
5,A_P_T^T,False,0,♦4 ♣Q,900,True,False,True,True,1,0,,False,♦4 ♣Q ♠5 ♦8 ♥10 ♥9 ♦10,17.0608,Pair,0.0
5,AllinWin,False,0,♣4 ♦7,4646,True,False,True,True,0,0,SB,False,♣4 ♦7 ♠5 ♦8 ♥10 ♥9 ♦10,17.0112,Pair,0.0
5,TMBS=trend micro's best supreme,False,0,♥7 ♠A,748,False,False,True,True,0,0,BB,False,♥7 ♠A ♠5 ♦8 ♥10 ♥9 ♦10,17.2144,Pair,0.0
6,8+9,True,0,♠Q ♣3,2918,False,False,True,True,2,0,BB,False,♠Q ♣3 ♦4 ♦Q ♣Q ♣J ♠2,110.0258,Three of a Kind,2918.0
6,隨便  ,True,0,♥6 ♦6,0,False,False,True,True,2,0,,False,♥6 ♦6 ♦4 ♦Q ♣Q ♣J ♠2,71.0256,Two Pair,0.0
6,iCRC必勝,True,0,♠A ♥Q,4760,False,False,True,True,2,0,,False,♠A ♥Q ♦4 ♦Q ♣Q ♣J ♠2,110.2304,Three of a Kind,4760.0
6,ヽ(=^･ω･^=)丿,False,0,♥4 ♣8,508,True,False,True,True,0,0,,True,♥4 ♣8 ♦4 ♦Q ♣Q ♣J ♠2,69.0256,Two Pair,0.0
6,A_P_T^T,False,0,♥5 ♠K,860,True,False,True,True,1,0,,False,♥5 ♠K ♦4 ♦Q ♣Q ♣J ♠2,19.1284,Pair,0.0
6,AllinWin,False,0,♦3 ♦2,4646,True,False,True,True,0,0,,False,♦3 ♦2 ♦4 ♦Q ♣Q ♣J ♠2,67.0256,Two Pair,0.0
6,TMBS=trend micro's best supreme,False,0,♠7 ♠9,308,True,False,True,True,0,0,SB,False,♠7 ♠9 ♦4 ♦Q ♣Q ♣J ♠2,19.0336,Pair,0.0
7,8+9,False,0,♠6 ♣10,2610,False,False,True,True,2,0,SB,False,♠6 ♣10 ♣6 ♠J ♣Q ♣2 ♠4,13.0896,Pair,0.0
7,隨便  ,False,0,,0,False,False,True,False,2,0,,False,,,,0.0
7,iCRC必勝,False,0,♦7 ♠A,4720,True,False,True,True,2,0,BB,False,♦7 ♠A ♣6 ♠J ♣Q ♣2 ♠4,8.0792,High Card,0.0
